72,0,4,0,0,1,4,6,0,1,1,6,6,0,2,5,4,0,0,3,3,0,2,2,0,1,0,1,0,0,0,2,4,2,6,3,3,14,8,5,6,1,6,1,1,3,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,2,5,5,12,0,1,1,1,0,1,3,2,0,0,1,0,2,1,2,1,2,0,0,1,0,0,1,0,0,0,1,4,0,4,4,5,13,4,0,1,3,3,1,1,0,0,1,0,1,0,2,3,0,8,2,1,1,5,11,1,0,2,4,4,1,0,0,0,0,0,6,1,3,4,0,1,1,0,0,4,3,1,0,1,1,2,5,4,2,0,1,1,0
72,0,1,0,0,1,0,1,1,1,0,0,0,2,3,0,1,0,0,3,2,0,1,2,1,0,0,2,0,0,1,0,2,1,1,0,0,0,2,0,0,1,0,0,1,0,1,0,0,1,1,4,0,0,0,1,0,0,0,0,1,0,3,1,0,0,1,0,0,0,0,1,1,0,1,0,1,2,0,0,0,2,0,1,0,0,0,1,0,0,0,7,4,0,3,1,0,0,0,0,0,3,1,0,1,1,0,0,1,0,0,3,1,0,4,0,0,0,0,2,1,1,2,0,0,1,0,3,0,2,0,2,0,1,1,0,0,0,0,0,1,2,0,0,3,1,2,1,0,1,2,1,1,1
72,0,0,0,0,3,4,1,1,2,2,1,0,1,2,1,2,0,2,1,2,0,4,2,0,2,0,0,1,1,0,3,2,0,1,3,1,1,4,1,4,1,1,1,3,7,3,1,1,5,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,2,3,6,2,0,0,6,4,0,0,2,3,7,1,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,3,1,0,1,2,1,0,2,0,0,6,0,3,0,4,3,0,0,2,2,0,0,2,0,2,1,7,0,1,0,2,0,0,2,0,1,1,5,0,1,2,0,3,8,2,0,1,1,0,0,3,2,2,0,4,0,1
72,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,3,0,1,2,2,1,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,2,1,2,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,3,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,2,0,0,0,1,1,0,3,0,0
72,0,0,0,0,3,3,4,0,2,3,2,1,0,0,1,4,0,0,2,2,0,0,4,0,2,0,0,1,0,1,0,4,0,0,0,1,2,1,5,3,3,2,1,1,2,0,0,0,5,0,4,2,1,0,2,0,0,0,0,0,0,2,0,0,6,1,2,4,0,1,3,1,0,0,1,4,7,1,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,2,2,1,1,0,0,2,0,0,3,2,2,0,0,0,0,3,0,0,0,0,5,1,0,1,0,4,2,0,0,1,3,1,4,1,0,3,1,0,1,1,1,0,0,0,0,4,0,0,1,3,0,1
72,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,1
72,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,6,1,1,2,1,0,0,0,1,2,0,0,1,1,1,1,0,2,0,1,0,0,0,1,1,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,1,1,1,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,2,0,0,2,1,2,1,1,0,1
72,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0
72,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,3,0,0,1,3,1,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,0,0,1
72,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,2,3,1,0,2,2,0,0,1,3,0,2,1,0,4,0,2,0,1,1,0,0,0,0,1,1,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,1,0,3,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,1,2,0,1,1,2,0,0,0,0,1,3,1,0,0,3,3,1,0,0,1,4,0,0,0,0,2,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,1
72,0,0,0,0,1,3,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0
72,0,0,0,0,2,0,0,2,2,0,0,0,2,2,1,0,0,0,1,0,0,1,1,0,2,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,4,0,0,4,3,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,8,2,0,1,0,0,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,2
72,0,0,0,0,1,0,1,0,0,1,0,0,1,3,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,2,1,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2,3,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,2,3,1,0,0
74,0,0,0,0,1,0,2,0,2,1,4,0,0,1,0,1,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,1,0,0,2,0,2,2,2,3,1,0,0,0,1,1,0,0,2,0,3,0,0,0,1,0,0,0,1,0,2,3,0,3,0,0,3,1,0,0,4,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0,0,1,0,0,0,1,0,0,0,2,7,1,3,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,5,1,0,0,0
74,0,1,0,0,2,1,3,3,1,0,2,1,2,6,1,2,0,0,2,2,6,0,5,0,1,1,2,0,0,2,1,0,0,4,5,1,2,8,4,3,1,1,2,2,2,1,0,1,2,1,4,1,1,0,3,1,0,0,0,0,3,7,0,6,3,2,4,1,0,2,2,0,0,0,1,1,2,1,0,3,2,0,0,0,0,0,0,0,0,0,1,2,0,1,1,0,1,3,1,1,5,2,1,4,0,0,5,0,0,2,2,0,0,2,0,1,1,1,3,0,0,5,1,1,1,0,2,0,0,2,8,4,3,6,2,1,0,2,0,1,2,0,1,0,0,1,1,3,2,0,2,1,2
74,0,0,0,0,0,0,3,1,0,1,1,1,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,2,1,0,2,0,0,0,1,3,2,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,1,6,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,1,2,0,2,2,0,0,0,1,0,0,0,0,0,1,2,0,0,1,3,0,0,0,0,0,0,0,3,0,1,0,0,0,2,2,0,0,1,0,0,0,1,0,2,1,5,0,0,0,0
74,0,1,0,0,2,2,0,1,4,1,3,0,2,6,0,0,0,0,1,0,2,1,7,1,0,1,2,0,0,0,0,2,0,2,0,0,0,3,1,1,0,2,1,0,2,1,1,0,2,0,2,1,1,1,1,0,0,0,0,0,1,6,0,5,1,0,0,2,1,0,0,1,0,0,0,2,2,0,0,2,4,1,0,1,0,1,0,1,2,0,1,2,0,2,1,0,2,2,0,0,1,0,1,3,0,1,4,1,0,0,2,1,0,0,1,0,0,0,1,0,0,4,2,1,0,0,1,0,0,2,6,0,5,4,1,1,1,0,0,3,3,0,0,1,0,0,2,3,2,0,0,0,1
74,1,1,0,0,0,0,5,1,1,2,1,3,2,2,1,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,4,1,1,1,0,4,2,2,2,0,0,0,2,2,1,4,0,0,0,2,0,0,0,0,0,0,0,0,1,1,5,0,7,0,2,1,2,0,1,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,1,0,1,4,0,0,2,0,0,5,0,0,1,0,2,0,0,0,0,0,0,4,0,1,2,2,0,1,0,2,0,0,0,1,0,3,2,0,0,0,1,1,0,0,0,0,2,1,0,1,0,4,0,1,0,2
74,0,2,0,0,0,1,3,5,2,3,5,1,1,1,1,3,0,0,1,5,3,1,2,2,3,0,0,0,0,0,1,2,0,1,5,3,3,4,4,3,2,2,3,0,1,2,0,1,2,2,1,1,0,1,2,2,0,0,0,1,5,7,0,7,0,3,1,3,0,0,0,3,1,2,0,1,3,0,1,1,1,3,0,0,0,0,1,0,0,0,2,1,0,0,1,0,3,2,1,0,2,4,0,4,1,0,6,0,0,0,4,2,1,2,0,0,2,0,1,4,1,4,4,1,1,0,1,2,1,0,5,4,5,6,4,1,2,1,1,1,1,1,0,1,0,0,4,1,1,0,2,0,1
74,0,2,0,0,2,2,4,3,5,2,2,1,1,2,3,6,0,3,5,1,2,1,5,1,0,3,0,1,0,2,1,2,1,1,1,2,4,5,7,4,1,2,7,2,4,1,5,2,3,1,3,1,2,1,1,0,0,0,0,1,2,10,0,9,7,1,5,3,0,2,2,1,1,1,0,3,5,1,2,2,3,1,0,0,0,1,0,2,1,0,2,1,0,0,2,1,2,2,2,3,3,3,0,3,1,3,9,1,3,1,2,2,0,2,1,0,2,0,7,1,1,8,3,0,0,0,1,1,1,1,3,1,6,8,2,3,2,2,1,1,2,1,1,2,1,1,7,2,2,6,1,0,2
74,0,0,0,0,2,2,4,1,6,4,4,3,0,5,1,3,0,3,0,0,0,0,3,1,0,0,0,2,0,1,1,6,1,4,4,3,2,4,8,0,4,2,2,2,2,1,2,0,3,1,1,0,0,0,3,1,0,0,1,0,1,9,0,9,6,0,3,1,1,1,3,0,1,0,3,0,0,2,1,5,1,0,2,1,1,0,0,0,1,0,2,0,0,2,1,0,4,1,1,0,3,2,0,1,1,1,7,2,0,0,1,3,0,1,0,0,2,0,3,0,1,2,2,3,2,0,0,1,0,0,2,2,8,4,5,1,0,0,0,2,1,0,1,2,1,2,13,2,5,3,3,1,2
74,0,2,2,0,3,0,1,0,0,1,5,3,1,5,0,0,0,0,1,1,3,1,2,0,1,1,0,1,0,0,1,0,0,1,0,1,2,6,7,0,0,1,1,1,1,1,1,0,3,2,4,0,0,0,0,0,0,0,0,0,0,8,0,2,1,3,1,1,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,1,0,0,2,2,0,1,1,0,2,0,4,0,2,0,0,3,1,0,0,3,0,0,0,1,0,0,0,4,0,0,3,0,2,4,1,1,0,0,0,5,0,4,2,1,0,1,1,1,0,3,0,0,0,0,0,0,0,1,2,0,0,4
74,0,0,0,0,1,2,0,0,0,5,3,0,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,4,6,8,0,0,0,4,1,2,0,2,0,0,2,0,0,1,2,0,0,0,0,0,0,2,3,0,2,0,0,1,0,0,0,2,0,2,1,1,0,0,0,1,2,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,2,0,1,3,2,0,0,0,1,5,0,0,0,2,2,0,0,0,0,0,3,3,0,1,1,1,1,0,1,1,0,1,0,3,0,4,0,1,2,1,2,1,0,2,1,0,0,0,0,1,0,2,0,0,0,4
74,0,1,0,0,0,0,1,2,2,2,3,2,2,2,1,0,0,0,1,1,4,0,1,0,0,0,0,2,0,1,0,1,0,1,0,0,1,4,9,2,0,0,4,3,1,0,3,1,2,1,0,0,0,0,1,0,0,0,0,0,0,5,0,4,1,0,1,1,0,2,4,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,3,0,2,0,0,4,1,0,0,0,1,0,1,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,0,8,0,3,2,0,0,0,1,0,0,2,0,0,0,0,0,3,1,4,1,1,0,1
74,0,1,0,0,0,1,3,3,3,0,5,2,0,3,1,1,0,1,0,0,2,1,4,3,2,1,0,1,0,0,0,0,0,2,0,1,10,8,12,3,2,1,1,1,2,3,2,1,4,2,2,0,1,1,1,0,0,0,1,0,0,7,1,6,0,2,0,2,0,0,3,0,0,0,3,4,2,0,2,3,1,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,3,1,0,0,1,1,2,0,0,1,2,0,0,1,1,1,0,1,0,1,3,2,4,1,0,3,0,1,2,0,1,1,0,1,5,1,3,2,1,0,1,0,0,0,0,1,1,0,0,0,4,1,5,1,1,0,1
74,0,0,0,0,2,0,4,1,1,0,6,1,2,2,1,0,1,1,0,0,1,2,2,0,1,2,0,0,0,0,1,0,1,0,1,2,4,3,7,2,0,0,3,2,1,2,0,0,0,2,2,0,3,0,1,0,0,0,1,0,1,4,0,4,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,4,1,0,0,4,2,0,0,0,0,5,0,0,1,1,1,0,0,1,0,1,1,4,0,0,0,3,1,2,0,2,1,0,1,7,0,3,1,0,0,1,1,1,0,0,0,0,0,1,0,4,1,4,1,1,0,0
74,1,0,0,0,0,0,1,0,0,2,4,3,1,0,1,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,2,2,0,0,5,6,4,0,1,0,4,0,2,2,0,0,0,1,2,0,0,1,0,0,0,0,0,1,2,5,0,5,2,1,0,0,0,0,2,0,0,1,0,3,1,0,1,3,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,3,2,2,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,3,3,0,0,0,0,0,0,0,3,0,2,0,1,0,0,1,0,0,1,0,0,0,3,2,4,0,2,1,0,0,1
74,0,0,0,0,0,1,6,2,1,2,4,0,0,1,0,0,1,2,1,0,3,1,2,0,1,0,0,0,0,0,0,1,0,4,0,0,2,3,6,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,11,0,2,2,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,2,0,0,1,0,2,0,2,0,1,2,0,0,0,0,1,1,1,1,0,0,1,1,0,0,2,7,1,1,2,2,0,0,0,10,0,3,2,1,0,0,0,0,1,1,0,0,0,0,0,2,1,1,1,0,0,1
74,0,0,0,0,1,0,3,0,1,2,2,1,1,4,0,1,0,1,1,0,2,1,2,0,0,0,0,1,0,0,3,4,0,1,2,3,0,0,13,2,0,0,3,1,2,0,1,0,2,1,2,0,1,0,0,0,0,0,0,0,0,4,0,8,3,1,0,0,4,2,0,0,0,0,0,4,2,0,2,4,0,0,0,1,0,1,0,1,1,0,0,1,0,3,1,0,4,0,1,1,1,5,1,4,0,1,4,0,3,0,0,1,1,0,0,0,3,0,8,1,0,1,1,1,1,1,3,1,0,0,2,2,7,1,4,0,0,0,0,1,1,0,1,0,0,0,4,1,2,1,1,0,0
74,0,0,1,0,1,3,1,2,0,2,1,0,0,4,0,1,0,0,0,1,1,0,1,0,2,0,0,3,0,1,0,0,0,0,0,0,0,1,4,2,0,0,3,1,1,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,1,7,0,0,2,1,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,3,1,0,1,1,3,0,0,2,1,2,0,0,2,0,0,0,5,0,0,3,1,0,2,0,1,0,0,0,2,0,2,2,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1
74,0,2,0,0,3,2,2,2,0,0,1,0,1,3,0,0,1,3,4,2,1,4,4,1,0,2,0,2,1,1,0,3,4,1,0,2,2,2,11,2,0,1,1,3,4,0,2,0,3,1,2,0,0,1,1,0,0,0,1,0,1,5,0,6,0,0,1,4,0,1,1,0,0,1,0,2,2,0,1,5,0,0,1,1,3,0,1,0,0,2,0,0,0,2,1,0,3,2,3,1,1,6,0,1,0,0,4,0,0,0,2,2,0,0,1,0,2,1,6,0,2,6,3,2,3,1,1,2,0,1,2,0,6,4,0,0,2,1,0,0,1,0,1,0,0,0,2,1,2,0,0,0,3
74,0,1,0,0,0,1,0,0,3,1,0,0,2,1,0,1,1,1,2,2,1,0,2,0,0,0,0,0,0,0,0,2,1,0,1,2,0,1,5,2,1,0,1,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,2,1,0,0,1,1,3,0,0,0,0,1,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,2,1,1,2,1,2,2,0,0,0,2,0,0,0,0,3,0,0,0,0,3,0,1,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,1,4,1,1,3,0,0,1,0,0,0,2,0,0,0,1,0,1,0,3,0,1,0,0
74,0,0,1,0,5,1,6,4,1,7,1,0,4,5,0,2,1,0,0,1,0,2,0,0,2,0,0,0,0,0,5,3,2,2,0,1,6,1,9,0,3,0,2,5,1,0,0,0,2,0,2,0,0,2,0,0,0,0,0,1,0,9,0,4,2,3,1,0,1,0,0,5,0,0,2,2,0,0,2,5,0,0,2,0,0,0,0,0,0,0,1,0,0,1,7,0,1,0,0,0,3,5,3,4,1,1,3,1,0,0,0,4,0,1,0,2,0,0,3,0,1,5,4,1,0,0,2,0,0,0,3,2,3,2,1,1,0,0,0,7,5,1,0,0,0,0,5,0,2,1,4,0,3
76,0,1,1,0,0,0,0,0,4,3,0,0,0,2,1,3,2,0,0,1,0,0,3,0,2,2,0,1,0,0,1,0,0,0,0,0,3,1,2,1,0,0,0,2,1,1,0,0,4,0,0,0,1,0,0,0,0,0,0,0,1,3,1,3,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,1,0,0,1,0,1,0,2,1,0,2,0,0,2,1,0,0,1,1,0,0,1,0,0,0,1,0,1,2,0,0,2,0,0,0,1,2,3,1,4,0,0,0,4,0,0,0,5,0,1,1,0,0,0,0,0,0,2,0,0,1,1,0,1,0,0,0,0,0,0
76,1,0,0,0,0,0,0,1,1,1,0,0,0,3,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,5,0,1,0,3,2,0,1,2,0,0,0,1,1,6,1,1,1,0,5,0,0,3,1,0,1,0,1,0,1,1,0,5,0,1,0,0,0,0,2,1,0,0,0,0,1,1,2,2,1,0,0,0,1,0,0,0,1,0,2,4,0,0,1,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,1,0,0,1,0,1,3,1,2,0,4,2,5,0,3,0,1,0,1,0,5,0,1,4,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1
76,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,2,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,2,7,2,0,0,2,0,1,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2
76,0,0,0,0,1,0,0,1,1,0,1,1,0,2,1,1,1,1,4,1,0,0,3,2,0,1,0,0,0,0,0,2,1,1,0,0,0,1,1,1,1,1,0,2,0,1,0,0,4,0,0,0,2,0,0,0,0,0,0,0,1,0,0,3,1,0,1,1,1,0,1,1,0,0,1,4,0,0,0,2,0,0,0,0,0,1,2,0,1,0,0,1,0,1,1,0,1,0,0,1,3,1,1,1,0,0,1,0,0,0,0,0,0,2,2,0,0,0,3,1,1,4,1,0,1,1,3,0,0,0,5,0,3,2,1,0,0,0,1,0,2,1,0,1,3,1,1,1,2,1,0,0,1
76,0,1,0,0,1,0,0,1,1,1,0,1,1,3,1,1,0,0,3,0,0,0,1,1,1,1,0,1,0,1,0,4,0,2,1,1,3,1,2,2,0,0,1,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,3,0,2,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,3,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,0,1,2,0,0,0,2,0,0,1,5,0,1,4,2,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0
76,0,0,0,0,0,0,1,0,2,0,2,1,2,3,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,4,0,1,0,0,2,3,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,1,2,0,1,0,0,1,1,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,5,2,1,0,0,0,0,0,2,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,6,3,5,4,3,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
76,0,1,0,0,2,1,2,3,0,0,0,0,1,4,1,0,1,0,2,1,1,0,3,0,0,0,1,0,0,0,3,4,0,1,4,1,3,1,3,0,1,0,0,1,2,1,0,1,6,2,1,1,0,1,1,0,0,0,0,0,1,5,0,7,2,0,0,2,0,0,1,0,0,1,3,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,3,0,0,1,3,0,1,4,0,0,2,3,0,2,1,0,0,0,0,0,1,1,0,0,2,1,0,0,2,0,3,1,2,0,1,0,1,0,0,0,4,0,1,2,1,0,0,1,0,1,0,0,0,0,1,2,4,0,1,3,1,0,0
76,0,0,0,0,5,3,2,0,4,2,0,1,2,2,2,2,0,0,1,1,0,3,1,0,1,0,1,0,0,0,0,1,0,0,2,0,0,2,2,4,2,0,0,6,1,2,1,2,4,1,1,0,0,1,0,0,0,0,1,3,0,1,0,5,0,1,1,3,0,0,1,0,0,0,3,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,6,1,0,0,1,1,1,1,1,0,2,0,0,3,1,2,0,0,1,0,6,2,2,0,3,0,0,2,2,1,3,3,3,0,4,1,4,0,0,0,6,0,4,6,1,0,1,0,0,3,3,1,0,2,3,1,2,1,1,0,1,1,0
76,0,0,0,0,1,0,2,1,1,2,1,6,0,5,2,0,1,2,1,1,0,0,2,0,1,0,0,2,0,0,4,6,2,4,1,2,3,5,7,1,0,1,1,3,3,1,1,1,6,1,2,0,0,0,0,0,0,0,1,0,1,4,0,5,2,2,1,2,4,1,2,3,0,0,1,0,0,0,1,2,2,1,1,0,1,1,1,0,3,0,1,1,0,2,2,0,0,1,1,0,2,2,1,3,0,1,1,1,1,0,0,4,0,0,2,3,2,3,6,0,3,4,3,1,3,0,2,0,0,1,6,0,1,3,1,0,1,1,0,0,4,1,0,0,1,1,4,0,1,1,3,1,1
76,0,1,0,0,3,1,2,2,3,0,1,0,0,3,1,1,0,1,1,0,0,1,3,0,0,0,0,1,0,2,1,3,0,1,3,1,4,4,6,1,1,2,0,1,0,0,2,1,4,2,1,0,0,0,0,0,0,0,0,0,1,6,0,5,3,2,0,1,0,0,1,0,0,2,2,0,1,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,1,1,1,2,2,0,1,0,2,1,5,0,1,0,0,1,0,0,2,0,1,1,1,0,2,1,0,3,2,1,0,4,0,6,0,0,0,6,2,6,3,2,0,0,1,0,0,2,1,1,0,2,1,2,0,2,1,0,0,0
76,0,1,0,0,6,2,2,3,1,1,0,0,1,3,4,2,0,0,1,2,0,0,1,1,0,0,1,1,0,0,1,4,1,0,3,2,5,6,3,6,2,2,0,4,0,2,0,1,1,0,2,0,0,0,0,0,0,0,2,0,0,2,0,7,4,2,1,1,1,1,4,1,1,0,0,2,0,0,3,1,0,0,1,2,2,0,1,0,0,1,2,5,0,1,1,0,2,3,0,0,2,2,5,4,0,1,0,0,0,1,0,1,0,3,3,0,3,2,1,1,0,3,0,3,1,0,1,0,0,0,6,5,7,2,5,0,1,3,1,2,1,0,0,0,0,1,6,3,0,1,4,1,1
76,0,1,0,0,2,1,0,1,1,0,0,0,5,3,4,0,0,0,3,0,0,1,1,0,0,0,1,0,0,0,1,3,1,1,1,1,4,1,0,0,1,0,0,3,4,0,0,1,5,1,2,1,0,0,0,0,0,0,1,0,3,3,0,8,0,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,3,2,1,2,2,0,1,1,8,1,2,0,0,0,0,0,0,2,1,0,0,2,0,1,0,6,0,1,3,0,0,1,0,1,0,0,0,6,2,2,3,2,0,1,0,0,3,3,1,0,0,0,0,4,1,2,4,0,0,0
